"X","Y"
8,0.99007
9.1,0.99769
8.4,0.99386
6.9,0.99508
7.7,0.9963
15.6,1.0032
7.3,0.99768
7,0.99584
7.2,0.99609
10.1,0.99774
11.5,1.0003
7.1,0.99694
10,0.99965
8.9,0.99549
7.9,0.99364
5.6,0.99378
6.3,0.99379
6.7,0.99524
10.4,0.9988
8.5,0.99733
7.4,0.9966
6.3,0.9955
5.4,0.99471
8.9,0.99354
9.4,0.99786
7.5,0.9965
11.9,0.9988
7.8,0.9964
7.4,0.99713
10.8,0.9985
10.2,0.99565
6.2,0.99578
7.7,0.9976
13.7,1.0014
8,0.99685
6.7,0.99648
6.7,0.99472
7,0.99914
8.3,0.99408
7.4,0.9974
9.9,1.0002
6.1,0.99402
7,0.9966
5.4,0.99402
10.7,1.0029
7.6,0.99718
8.9,0.9986
9.2,0.9952
6.6,0.9952
7.2,0.9972
8,0.9976
7.8,0.9968
7.9,0.9978
7,0.9951
7,0.99629
7.6,0.99656
9.1,0.999
9,0.99836
7.9,0.99396
6.6,0.99387
11.9,1.0004
6.5,0.9972
7.1,0.9972
8.8,0.99546
7.5,0.9978
7.7,0.99596
6,0.99572
10.6,0.9992
6.6,0.99544
8.2,0.99747
7.9,0.99668
7.1,0.9962
5.6,0.99346
6.4,0.99514
7.5,0.99476
9.8,1.001
7,0.9961
10.5,0.99598
7.1,0.99608
6.2,0.9966
6.5,0.99732
7.7,0.9962
7.2,0.99546
9.3,0.99738
8.5,0.99456
7.7,0.9966
6.8,0.99553
7.8,0.9984
8.7,0.9952
9.6,0.997
7.2,0.99586
9.3,0.9984
8.1,0.99542
6.6,0.99655
7.8,0.9962
10.2,0.9976
6.1,0.99464
7.3,0.9983
7.3,0.9967
